,Similarity,Category,Subword,Subword_freq,Word,Word_freq
0,0.31900167,animal,worm,9,silkworm,1
1,0.14391774,body_part,head,467,headdress,1
2,0.014888141,body_part,hip,18,shipwreck,2
3,0.014495062,body_part,shin,3,nourishing,1
4,0.083932966,animal,rat,9,cooperate,11
5,0.22012103,car_brand,car,386,carbine,8
6,0.056830935,animal,cat,41,altercation,1
7,0.077861585,car_brand,car,386,carlo,2
8,0.07192781,body_part,ear,67,appears,84
9,0.07860055,color,pear,8,appears,84
10,0.07860055,fruit,pear,8,appears,84
11,0.06557459,animal,cat,41,locate,16
12,0.032909293,color,red,201,accredited,2
13,0.15446734,body_part,hip,18,chipper,1
14,0.008496065,body_part,head,467,heady,2
15,0.021576136,body_part,ear,67,spearhead,1
16,0.23786955,body_part,head,467,spearhead,1
17,0.05642958,color,pear,8,spearhead,1
18,0.05642958,fruit,pear,8,spearhead,1
19,0.03286502,color,red,201,unprepared,6
20,0.14634229,body_part,leg,125,leggy,1
21,0.059475545,body_part,foot,353,footnote,6
22,0.24434783,animal,fly,45,butterfly,3
23,0.093608975,food,butter,27,butterfly,3
24,0.07535943,animal,bat,24,bateau,2
25,0.011210408,animal,rat,9,saturation,5
26,0.08586641,body_part,ear,67,rearrange,3
27,0.21429527,body_part,hand,720,handwriting,5
28,0.3725446,color,corn,36,cornbread,1
29,0.5088746,food,bread,41,cornbread,1
30,0.021276832,animal,rat,9,moderator,4
31,0.10687802,animal,rat,9,separateness,2
32,0.07755415,color,red,201,suffered,42
33,0.009751144,body_part,arm,215,farmland,2
34,0.038442712,animal,owl,4,narrowly,6
35,0.11882079,car_brand,train,98,overstraining,1
36,0.0046982984,car_brand,car,386,scarce,6
37,0.20440769,body_part,leg,125,allegro,2
38,0.061990686,body_part,ear,67,lear,4
39,0.13855255,color,black,206,blackberry,3
40,0.04370442,car_brand,bus,43,saltbush,1
41,0.038277112,animal,cat,41,indicated,108
42,0.14036994,animal,rat,9,rata,2
43,0.07730763,animal,cat,41,identification,45
44,0.048646733,animal,rat,9,oratory,3
45,0.061611246,color,red,201,redeeming,1
46,0.002131017,animal,rat,9,accurate,35
47,0.112130225,animal,bear,83,beardless,1
48,0.5448008,body_part,beard,31,beardless,1
49,0.08879469,body_part,ear,67,beardless,1
50,0.06847839,animal,ant,13,antagonism,11
51,0.06087249,animal,ant,13,antagonize,1
52,0.01546365,body_part,head,467,flathead,1
53,0.03605088,color,red,201,furthered,3
54,0.066852726,body_part,face,443,subsurface,1
55,0.092979625,color,red,201,redeemed,1
56,0.014845836,animal,rat,9,generation,78
57,0.00072800345,animal,cat,41,stratification,2
58,0.1390446,animal,rat,9,stratification,2
59,0.0536656,body_part,eye,523,meyer,6
60,0.021303572,body_part,lung,36,plunging,3
61,0.10919031,body_part,arm,215,alarm,17
62,0.04522146,color,red,201,conspired,3
63,0.16765626,color,tan,9,botanical,1
64,0.056673914,body_part,arm,215,unharmonious,1
65,0.105489984,animal,ant,13,vigilantism,1
66,0.07453041,body_part,nose,66,diagnosed,2
67,0.1618499,car_brand,car,386,cargo,7
68,0.2972657,animal,worm,9,hookworm,1
69,0.47546047,fruit,apple,15,pineapple,9
70,0.20690796,animal,cat,41,scatterbrained,2
71,0.099098876,body_part,brain,63,scatterbrained,2
72,0.13983907,body_part,ear,67,swearing,3
73,0.10044348,animal,rat,9,exploratory,4
74,0.19742145,animal,cow,45,cowhide,1
75,0.055002563,color,red,201,predicament,3
76,0.013587311,car_brand,car,386,carne,3
77,0.14349711,animal,ant,13,ranted,1
78,0.118360855,body_part,hand,720,chandelier,4
79,0.02284737,animal,cat,41,dislocation,3
80,0.008766489,animal,cat,41,qualification,24
81,0.23430727,body_part,eye,523,eyeing,4
82,0.009923428,car_brand,car,386,discard,1
83,0.18771105,animal,ant,13,planting,6
84,0.15218905,animal,rat,9,uncooperative,2
85,0.042820074,animal,rat,9,moderation,3
86,0.021291917,animal,rat,9,congratulated,3
87,0.12067967,animal,ant,13,applicant,18
88,0.07983618,animal,rat,9,exaggerated,13
89,0.046685103,animal,bat,24,incubated,1
90,0.103255935,color,red,201,irredentism,1
91,0.0678889,car_brand,car,386,caroline,2
92,0.03899305,color,red,201,fractured,1
93,0.06531371,color,tan,9,assistance,87
94,0.12014876,color,red,201,captured,17
95,0.070101336,animal,cat,41,multiplication,6
96,0.085138,animal,rat,9,rationalized,1
97,0.23066296,animal,horse,185,clotheshorse,2
98,0.04381601,body_part,arm,215,harm,25
99,0.25675634,fruit,grape,10,grapevine,4
