,Similarity,Category,Subword,Subword_freq,Word,Word_freq
0,0.052544475,body_part,face,443,facetiously,1
1,0.006618039,animal,bee,26,beefy,1
2,0.005449848,animal,cat,41,allocated,5
3,0.3677743,animal,crow,4,crowed,2
4,0.1275282,animal,ant,13,determinant,3
5,0.069054,body_part,leg,125,illegal,9
6,0.021441177,body_part,ear,67,unclear,2
7,0.15564215,animal,cat,41,prognostication,1
8,0.07272679,body_part,ear,67,yeard,1
9,0.08270898,color,red,201,marred,4
10,0.083645985,animal,cat,41,indelicate,1
11,0.113139376,animal,rat,9,stratify,1
12,0.030443797,body_part,arm,215,harmonious,5
13,0.003166948,color,red,201,underscored,3
14,0.026651353,animal,rat,9,reiterate,1
15,0.07435149,color,red,201,unexplored,4
16,0.13888556,body_part,shin,3,mashing,1
17,0.20440769,body_part,leg,125,allegro,2
18,0.14603896,animal,ant,13,itinerant,1
19,0.18829761,body_part,ear,67,pearl,11
20,0.3578661,fruit,pear,8,pearl,11
21,0.018807761,food,bread,41,breadth,7
22,0.15634996,color,red,201,hollered,2
23,0.27783182,animal,ant,13,giant,44
24,0.1261729,body_part,head,467,headlight,8
25,0.08161201,animal,owl,4,lowly,1
26,0.23514427,color,red,201,whiskered,1
27,0.21177627,body_part,ear,67,teardrop,1
28,0.20708933,vehicle,bus,43,ambush,8
29,0.16198781,vehicle,bus,43,busy,58
30,0.13819912,animal,ant,13,unromantic,1
31,0.16570237,color,red,201,clattered,5
32,0.04210607,color,red,201,redevelopment,5
33,0.09865538,animal,bat,24,bathrobe,3
34,0.090317205,body_part,rib,12,horrible,15
35,0.044282887,animal,ant,13,trenchant,4
36,0.005896649,animal,rat,9,operating,87
37,0.14349711,animal,ant,13,ranted,1
38,0.08765647,animal,bat,24,debatable,1
39,0.08672422,body_part,rib,12,terrible,45
40,0.19911928,animal,ant,13,incantation,2
41,0.34609723,color,gray,80,grayed,1
42,0.083930634,animal,ant,13,mantlepiece,1
43,0.14976607,food,pie,19,mantlepiece,1
44,0.072606884,animal,rat,9,lacerate,1
